,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"142,178","4,559","2,484"
1,Italy,"97,689","13,030","10,779"
2,China,"81,470","75,700","3,304"
3,Spain,"80,110","14,709","6,803"
4,Germany,"62,435","9,211",541
5,France,"40,174","7,202","2,606"
6,Iran,"38,309","12,391","2,640"
7,UK,"19,522",135,"1,228"
8,Switzerland,"14,829","1,595",300
9,Netherlands,"10,866",250,771
10,Belgium,"10,836","1,359",431
11,SKorea,"9,661","5,228",158
12,Turkey,"9,217",105,131
13,Austria,"8,788",479,86
14,Canada,"6,320",573,65
15,Portugal,"5,962",43,119
16,Norway,"4,284",7,26
17,Brazil,"4,256",6,136
18,Israel,"4,247",132,15
19,Australia,"4,163",244,17
20,Sweden,"3,700",16,110
21,Czechia,"2,817",11,16
22,Ireland,"2,615",5,46
23,Malaysia,"2,470",388,35
24,Denmark,"2,395",1,72
25,Chile,"2,139",75,7
26,Luxembourg,"1,950",40,21
27,Ecuador,"1,924",3,58
28,Japan,"1,866",424,54
29,Poland,"1,862",7,22
30,Romania,"1,815",206,43
31,Pakistan,"1,597",29,14
32,Russia,"1,534",64,8
33,Philippines,"1,418",42,71
34,Thailand,"1,388",229,7
35,SaudiArabia,"1,299",66,8
36,Indonesia,"1,285",64,114
37,SouthAfrica,"1,280",31,2
38,Finland,"1,240",10,11
39,Greece,"1,156",52,39
40,India,"1,024",95,27
41,Iceland,"1,020",135,2
42,Panama,989,4,24
43,DominicanRepublic,859,3,39
44,Peru,852,16,18
45,Mexico,848,35,16
46,Singapore,844,212,3
47,Argentina,820,91,20
48,Serbia,741,42,13
49,Slovenia,730,10,11
50,Croatia,713,55,6
51,,712,603,10
52,Colombia,702,10,10
53,Estonia,679,20,3
54,HongKong,642,118,4
55,Qatar,634,48,1
56,Egypt,609,132,40
57,UAE,570,58,3
58,Iraq,547,143,42
59,NewZealand,514,63,1
60,Algeria,511,31,31
61,Bahrain,499,272,4
62,Morocco,479,13,26
63,Ukraine,475,6,10
64,Lithuania,460,1,7
65,Lebanon,438,30,10
66,Armenia,424,30,3
67,Hungary,408,34,13
68,Latvia,347,1,0
69,Bulgaria,346,14,8
70,Andorra,334,1,6
71,BosniaandHerzegovina,323,8,6
72,CostaRica,314,3,2
73,Slovakia,314,2,0
74,Tunisia,312,2,8
75,Uruguay,304,0,1
76,Taiwan,298,39,3
77,Kazakhstan,284,20,1
78,Moldova,263,2,2
79,Jordan,259,18,3
80,NorthMacedonia,259,3,6
81,Kuwait,255,67,0
82,SanMarino,224,6,22
83,BurkinaFaso,222,23,12
84,Cyprus,214,15,6
85,Albania,212,33,10
86,Azerbaijan,209,15,4
87,Vietnam,194,25,0
88,Réunion,183,1,0
89,Oman,167,23,0
90,IvoryCoast,165,4,1
91,FaeroeIslands,159,70,0
92,Ghana,152,2,5
93,Malta,151,2,0
94,Uzbekistan,144,7,2
95,Senegal,142,27,0
96,Cameroon,139,5,6
97,Cuba,139,4,3
98,Brunei,126,34,1
99,Afghanistan,120,2,4
100,Venezuela,119,39,3
101,SriLanka,117,11,1
102,Nigeria,111,3,1
103,Honduras,110,3,3
104,Palestine,109,18,1
105,Mauritius,107,0,3
106,Guadeloupe,106,17,4
107,Cambodia,103,21,0
108,Belarus,94,32,0
109,Martinique,93,0,1
110,Georgia,91,18,0
111,Montenegro,85,0,1
112,Kyrgyzstan,84,0,0
113,DRC,81,2,8
114,Bolivia,81,0,1
115,TrinidadandTobago,78,1,3
116,Rwanda,70,0,0
117,Gibraltar,65,14,0
118,Paraguay,64,1,3
119,Mayotte,63,0,0
120,Liechtenstein,56,0,0
121,Aruba,50,1,0
122,Bangladesh,48,15,5
123,Monaco,46,1,1
124,FrenchGuiana,43,6,0
125,Kenya,42,1,1
126,IsleofMan,42,0,0
127,PuertoRico,39,1,2
128,Madagascar,39,0,0
129,Macao,37,10,0
130,Guatemala,34,10,1
131,Uganda,33,0,0
132,Barbados,33,0,0
133,Jamaica,32,2,1
134,Guam,32,0,1
135,Togo,30,1,1
136,FrenchPolynesia,30,0,0
137,Zambia,29,0,0
138,ElSalvador,24,0,0
139,Bermuda,22,2,0
140,Ethiopia,21,1,0
141,Niger,18,0,1
142,Djibouti,18,0,0
143,Mali,18,0,1
144,Maldives,17,13,0
145,USVirginIslands,17,0,0
146,Guinea,16,0,0
147,Haiti,15,1,0
148,NewCaledonia,15,0,0
149,Tanzania,14,1,0
150,Bahamas,14,1,0
151,CaymanIslands,12,0,1
152,Eritrea,12,0,0
153,Mongolia,12,0,0
154,EquatorialGuinea,12,0,0
155,Namibia,11,2,0
156,Dominica,11,0,0
157,SaintMartin,11,0,0
158,Greenland,10,2,0
159,SaintLucia,9,1,0
160,Eswatini,9,0,0
161,Grenada,9,0,0
162,Syria,9,0,1
163,Curaçao,8,2,1
164,Mozambique,8,0,0
165,Guyana,8,0,1
166,Seychelles,8,0,0
167,Suriname,8,0,0
168,Laos,8,0,0
169,Libya,8,0,0
170,AntiguaandBarbuda,7,0,0
171,Angola,7,0,2
172,Gabon,7,0,1
173,Zimbabwe,7,0,1
174,CaboVerde,6,0,1
175,Benin,6,0,0
176,Sudan,6,0,1
177,VaticanCity,6,0,0
178,Mauritania,5,2,0
179,Nepal,5,1,0
180,Fiji,5,0,0
181,Montserrat,5,0,0
182,StBarth,5,0,0
183,TurksandCaicos,4,0,0
184,Gambia,4,0,1
185,Nicaragua,4,0,1
186,Bhutan,4,0,0
187,Chad,3,0,0
188,CAR,3,0,0
189,Liberia,3,0,0
190,Somalia,3,0,0
191,BritishVirginIslands,2,0,0
192,Anguilla,2,0,0
193,Belize,2,0,0
194,SaintKittsandNevis,2,0,0
195,GuineaBissau,2,0,0
196,Kosovo,2,0,0
197,StVincentGrenadines,1,1,0
198,TimorLeste,1,0,0
199,PapuaNewGuinea,1,0,0
